TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20070101,2.962,0.0,120.871,26.404,0.0,308.394,0.0,1.246,0.0,97.357,0.0,2.087,0.0,3.955,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.9547,-9999,-9999,-9999,-9999,-9999,61.762,-9999,-9999,-9999,-9999,-9999,-4.52245,0.0,-9999,-4.72672,-4.52245,-4.42111,0.0,0.0,0.0,3.51531,3.46625,3.48125,3.56013,8.03777,7.88779,8.02344,8.38615,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070102,1.647,0.0,121.491,74.022,0.0,247.551,0.0,2.072,0.0,98.754,0.0,0.001,0.0,3.73,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.4272,-9999,-9999,-9999,-9999,-9999,65.2927,-9999,-9999,-9999,-9999,-9999,-4.22827,0.0,-9999,-4.34265,-4.22827,-3.97311,0.0,0.0,0.0,3.28259,3.23564,3.25087,3.30787,7.51085,7.31026,7.47338,7.87523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070103,4.237,0.0,122.17,64.341,0.0,266.008,0.0,2.666,0.0,97.875,0.0,0.006,0.0,5.113,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.1286,-9999,-9999,-9999,-9999,-9999,51.6822,-9999,-9999,-9999,-9999,-9999,-4.22773,0.0,-9999,-4.68574,-4.25075,-4.22773,0.0,0.0,0.0,3.74335,3.68363,3.71256,3.82095,7.97108,7.9233,7.97108,8.58124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070104,5.701,0.0,122.908,52.009,0.0,289.001,0.0,2.528,0.0,97.177,0.0,0.004,0.0,4.31,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.9547,-9999,-9999,-9999,-9999,-9999,61.762,-9999,-9999,-9999,-9999,-9999,-4.52245,0.0,-9999,-4.72672,-4.52245,-4.42111,0.0,0.0,0.0,4.00824,3.93614,3.97831,4.11616,8.5307,8.35345,8.51454,8.87094,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070105,5.919,0.0,123.703,30.862,0.0,329.82,0.0,1.546,0.0,96.985,0.0,0.421,0.0,2.889,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.4272,-9999,-9999,-9999,-9999,-9999,65.2927,-9999,-9999,-9999,-9999,-9999,-4.22827,0.0,-9999,-4.34265,-4.22827,-3.97311,0.0,0.0,0.0,4.04832,3.97566,4.01919,4.1485,8.27659,8.06148,8.24255,8.64481,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070106,2.106,0.0,124.558,50.783,0.0,287.565,0.0,1.386,0.0,97.61,0.0,2.666,0.0,2.645,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.1286,-9999,-9999,-9999,-9999,-9999,51.6822,-9999,-9999,-9999,-9999,-9999,-4.22773,0.0,-9999,-4.68574,-4.25075,-4.22773,0.0,0.0,0.0,3.36093,3.31484,3.3294,3.38567,7.58866,7.55192,7.60378,8.25326,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070107,1.817,0.0,125.471,77.935,0.0,260.242,0.0,2.135,0.0,98.165,0.0,0.449,0.0,2.916,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.9547,-9999,-9999,-9999,-9999,-9999,61.762,-9999,-9999,-9999,-9999,-9999,-4.52245,0.0,-9999,-4.72672,-4.52245,-4.42111,0.0,0.0,0.0,3.31236,3.26588,3.28078,3.33737,7.83481,7.69764,7.82116,8.16938,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070108,-0.347,0.0,126.442,40.492,0.0,281.381,0.0,1.529,0.0,96.915,0.0,3.418,0.0,3.82,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.4272,-9999,-9999,-9999,-9999,-9999,65.2927,-9999,-9999,-9999,-9999,-9999,-4.22827,0.0,-9999,-4.34265,-4.22827,-3.97311,0.0,0.0,0.0,2.93403,2.88804,2.90663,2.96245,7.1623,6.9679,7.12489,7.52969,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070109,-3.765,0.0,127.471,70.114,0.0,247.291,0.0,1.332,0.0,97.702,0.0,1.605,0.0,4.866,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.1286,-9999,-9999,-9999,-9999,-9999,51.6822,-9999,-9999,-9999,-9999,-9999,-4.22773,0.0,-9999,-4.68574,-4.25075,-4.22773,0.0,0.0,0.0,2.36844,2.32263,2.3538,2.42097,6.59617,6.56606,6.66462,7.23792,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20070110,-5.347,0.0,128.557,57.447,0.0,260.416,0.0,1.246,0.0,98.843,0.0,1.125,0.0,3.309,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69.9547,-9999,-9999,-9999,-9999,-9999,61.762,-9999,-9999,-9999,-9999,-9999,-4.52245,0.0,-9999,-4.72672,-4.52245,-4.42111,0.0,0.0,0.0,2.11518,2.06831,2.10606,2.17828,6.63763,6.54873,6.62647,6.88515,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
